"","Participant","Qnum","Sensitive","T/F","hasAbsolutelyReally","hasContraction","hasI","hasWe","hasYes","hasNAposT","hasNo","hasNot","isJustYes","isJustNo","noYesOrNo","specificDenial","thirdPersonPronouns","hasFalseStart","hasFilledPause","numFilledPauses","hasCuePhrase","numCuePhrases","hasHedgePhrase","numHedgePhrases","hasLaugh","complexity","numLaugh","DAL-wc","DAL-pleasant","DAL-activate","DAL-imagenary","specScores","duration"
"data20","201","q10",FALSE,"T","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","4","1","2","0","1.0","0","0.780487804878","1.96575","1.76008125","1.4125","0.917718","28.264968"
"data21","201","q2",FALSE,"F","0","1","1","1","1","1","0","0","0","0","0","1","0","1","1","18","1","15","1","2","1","1.0","1","0.788321167883","1.88997962963","1.66165462963","1.51111111111","1.000000","118.043017"
"data22","201","q6",FALSE,"T","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","12","1","26","1","12","0","1.0","0","0.879194630872","1.91075038168","1.64430763359","1.4320610687","1.000000","81.636602"
"data23","201","q14",TRUE,"T","0","1","1","0","1","1","1","0","0","0","0","0","1","1","1","14","1","22","1","14","1","1.0","2","0.929245283019","1.87966091371","1.69625634518","1.45583756345","1.000000","101.68025"
"data24","200","q22",FALSE,"T","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","4","1","6","1","3","0","1.0","0","0.847826086957","2.02735897436","1.69765128205","1.38974358974","0.922893","28.968"
"data25","200","q23",TRUE,"F","1","1","1","1","0","1","0","1","0","0","1","0","1","0","1","10","1","13","1","9","0","1.0","0","0.912","1.93698070175","1.64885263158","1.56140350877","1.000000","77.68"
"data26","200","q9",FALSE,"T","1","1","1","1","1","1","0","1","0","0","0","0","0","0","1","8","1","22","1","22","1","1.0","8","0.80829015544","2.00864230769","1.70080897436","1.35128205128","1.000000","87.896939"
"data27","200","q1",FALSE,"F","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1","13","1","31","1","29","0","1.0","0","0.8407960199","1.99865266272","1.69127455621","1.41301775148","1.000000","121.838838"
"data28","200","q12",TRUE,"T","1","1","1","0","0","1","1","0","0","0","0","1","0","0","1","3","1","11","1","8","1","1.0","6","0.846153846154","1.85772020202","1.6938979798","1.46464646465","1.000000","39.728"
"data29","200","q17",FALSE,"T","1","1","1","0","0","1","0","0","0","0","1","0","1","1","1","3","1","13","1","11","1","1.0","3","0.880733944954","1.96690729167","1.63423958333","1.42291666667","1.000000","58.64"
"data30","200","q24",TRUE,"T","1","1","1","0","0","1","1","1","0","0","0","0","0","0","1","2","1","15","1","6","1","1.0","3","0.833333333333","1.89675384615","1.59612923077","1.31384615385","0.999907","34.384"
"data31","200","q3",FALSE,"T","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","6","1","12","1","6","0","1.0","0","0.912087912088","1.90410120482","1.72406626506","1.58313253012","0.999989","55.752"
"data32","200","q14",TRUE,"F","1","1","1","1","0","1","0","1","0","0","1","0","1","1","1","3","1","18","1","9","0","1.0","0","0.944444444444","1.95621512605","1.64498991597","1.44201680672","1.000000","58.432"
"data33","200","q11",FALSE,"T","1","1","1","1","0","1","0","1","0","0","1","0","1","1","1","8","1","13","1","8","0","1.0","0","0.943089430894","1.9829","1.66219224138","1.45689655172","1.000000","66.72"
"data34","200","q4",FALSE,"T","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","7","1","16","1","8","0","1.0","0","0.91452991453","1.93608317757","1.63476542056","1.44112149533","1.000000","63.16"
"data35","200","q5",TRUE,"F","1","1","1","0","0","1","0","1","0","0","1","0","1","0","1","6","1","9","1","6","0","1.0","0","0.886075949367","1.87424714286","1.64522571429","1.41428571429","0.999885","50.408"
"data36","200","q15",TRUE,"F","1","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","11","1","7","0","1.0","0","0.969696969697","2.116875","1.76585","1.625","0.982528","43.494757"
"data37","200","q13",TRUE,"F","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","13","1","28","1","28","0","1.0","0","0.918103448276","1.90585962441","1.68582441315","1.39906103286","1.000000","123.152"
"data38","200","q2",FALSE,"F","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","5","1","7","1","2","0","1.0","0","0.837209302326","1.88325833333","1.67499444444","1.43333333333","0.956239","31.304"
"data39","200","q6",FALSE,"T","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","12","1","40","1","19","1","1.0","9","0.896666666667","1.90972156134","1.63132118959","1.5063197026","1.000000","135.912"
"data40","200","q8",FALSE,"F","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","3","1","11","1","6","1","1.0","1","0.895833333333","1.96518372093","1.68589534884","1.47906976744","0.999998","47.872"
"data41","200","q7",FALSE,"T","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","2","0","0","1","1.0","1","0.833333333333","1.99228","1.73971333333","1.53333333333","0.050730","7.573174"
"data42","200","q16",TRUE,"F","1","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","2","1","2","0","1.0","0","0.852941176471","2.03710689655","1.64573448276","1.31034482759","0.764642","16.192"
"data43","200","q10",FALSE,"F","1","1","1","0","1","1","0","1","0","0","0","0","0","0","1","1","1","5","1","3","0","1.0","0","0.941176470588","1.95525625","1.65659375","1.325","0.501638","21.44"
"data44","200","q18",FALSE,"F","1","1","1","0","0","1","1","1","0","0","0","1","1","0","1","2","1","15","1","7","0","1.0","0","0.952380952381","1.920956","1.680797","1.372","0.999999","53.496"
"data45","200","q19",FALSE,"T","1","1","1","0","0","1","1","1","0","0","0","0","1","1","1","7","1","21","1","21","0","1.0","0","0.881481481481","1.97920084034","1.70908487395","1.35294117647","1.000000","81.416"
"data46","200","q21",FALSE,"T","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","3","1","11","1","7","0","1.0","0","0.906976744186","1.98377564103","1.69576666667","1.4358974359","0.999961","44.704"
"data47","200","q20",FALSE,"F","1","1","1","1","0","1","1","0","0","0","0","0","0","0","1","3","1","6","1","9","0","1.0","0","0.897058823529","1.96633114754","1.71141311475","1.50163934426","0.999483","41.68"
"data48","203","q13",TRUE,"T","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","3","1","8","1","2","1","1.0","1","0.863636363636","1.88201842105","1.70125","1.46315789474","0.952986","28.888"
"data49","203","q8",FALSE,"F","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","3","1","4","0","1.0","0","0.896551724138","1.95546153846","1.70195384615","1.36153846154","0.320471","14.88"
"data50","203","q18",FALSE,"F","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1.0","0","0.5","1.2308","2.1538","1.0","0.002690","0.56"
"data51","203","q14",TRUE,"F","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","2","1","1","1","1.0","1","0.684210526316","1.92417692308","1.72250769231","1.44615384615","0.120260","12.96101"
"data52","203","q22",FALSE,"F","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","1","5","1","3","1","1.0","1","0.777777777778","1.94797714286","1.62441714286","1.38857142857","0.835339","22.672"
"data53","203","q23",TRUE,"T","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.47693333333","1.78736666667","1.06666666667","0.000027","2.24"
"data54","203","q17",FALSE,"T","1","1","1","0","0","1","0","1","0","0","1","0","1","0","1","2","1","7","1","4","1","1.0","1","0.9","1.85261481481","1.56594259259","1.47037037037","0.991873","22.968"
"data55","203","q10",FALSE,"T","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","1","1","2","0","0","1","1.0","1","0.769230769231","1.83565","1.59835","1.42","0.326210","17.088"
"data56","203","q5",TRUE,"F","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.256"
"data57","203","q2",FALSE,"T","0","0","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","4","1","1","0","1.0","0","0.918918918919","1.90399117647","1.72362647059","1.52941176471","0.725590","14.84"
"data58","203","q1",FALSE,"T","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.0","0","1.0","1.9613","1.7473","1.86666666667","0.007220","1.008"
"data59","203","q4",FALSE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.0","0","1.0","1.625","2.0","3.0","0.277768","0.37391"
"data60","203","q15",TRUE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1.0","1","0.6","2.07121666667","1.87335","1.73333333333","0.128053","3.632"
"data61","203","q9",FALSE,"F","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","2","0","0","1","1.0","1","0.533333333333","2.2735","1.8046","1.25","0.566930","6.75604"
"data62","203","q24",TRUE,"F","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.634639"
"data63","203","q20",FALSE,"T","0","1","1","1","0","1","1","1","0","0","0","0","0","0","1","1","1","4","1","3","0","1.0","0","0.913793103448","1.96096415094","1.69833018868","1.49811320755","0.990968","29.368"
"data64","203","q6",FALSE,"T","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","0.833333333333","1.78544","1.74102","1.16","0.007996","11.808"
"data65","203","q21",FALSE,"T","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","2","1","7","1","2","0","1.0","0","0.911111111111","2.01921219512","1.66019512195","1.56097560976","0.955387","27.432"
"data66","203","q16",TRUE,"F","0","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0","1","6","1","5","1","1.0","1","0.779661016949","1.91733478261","1.64172391304","1.49130434783","0.995597","26.048"
"data67","203","q19",FALSE,"F","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","2","1","8","1","1","1","1.0","1","0.853658536585","1.84778","1.68666","1.55428571429","0.978547","23.528"
"data68","203","q12",TRUE,"T","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","6","1","4","1","1.0","1","0.975","1.97602820513","1.75846666667","1.56923076923","0.510009","14.008"
"data69","203","q11",FALSE,"F","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","3","1","2","0","1.0","0","0.848484848485","1.82490357143","1.64225714286","1.34285714286","0.375639","30.08"
"data70","203","q3",FALSE,"F","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","2","0","0","1","1.0","1","0.857142857143","1.75981111111","1.67229444444","1.65555555556","0.180198","36.576"
"data71","203","q7",FALSE,"T","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.32"
"data72","202","q13",TRUE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.0","0","0.0","0.0","0.0","0.0","0.309045","0.104"
"data73","202","q18",FALSE,"T","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","0.598394"
"data74","202","q19",FALSE,"T","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","0.308697"
"data75","202","q20",FALSE,"T","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","3","0","0","1","1.0","1","0.772727272727","1.98334705882","1.76329411765","1.44705882353","0.287607","13.469703"
"data76","202","q21",FALSE,"F","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1.0","0","0.818181818182","2.11926666667","1.68215555556","1.46666666667","0.025511","9.768"
"data77","202","q22",FALSE,"F","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1.0","0","0.5","1.2308","2.1538","1.0","0.002690","0.544"
"data78","202","q23",TRUE,"T","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.168"
"data79","202","q24",TRUE,"F","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","1.173147"
"data80","202","q6",FALSE,"F","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","0.878561"
"data81","202","q7",FALSE,"T","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1.0","0","0.5","1.2308","2.1538","1.0","0.002690","0.877271"
"data82","202","q8",FALSE,"F","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","9","1","1","1","1.0","1","0.875","1.86608285714","1.64605428571","1.44571428571","0.925962","15.573091"
"data83","202","q9",FALSE,"T","0","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","3","1","2","0","1.0","0","0.777777777778","1.97737142857","1.74011428571","1.14285714286","0.005374","7.513019"
"data84","202","q10",FALSE,"T","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","2","1","3","1","3","1","1.0","1","0.857142857143","1.80321","1.72308","1.33333333333","0.584624","13.072"
"data85","202","q11",FALSE,"T","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","1","1.0","1","0.846153846154","2.09168181818","1.76081818182","1.49090909091","0.006014","3.192"
"data86","202","q3",FALSE,"F","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","0.717386"
"data87","202","q15",TRUE,"T","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","3","1","1.0","5","1.0","1.892515625","1.70440625","1.21875","0.156021","10.848"
"data88","202","q16",TRUE,"F","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","4","1","15","1","14","1","1.0","2","0.826923076923","1.97269767442","1.64011511628","1.37441860465","0.999999","54.883253"
"data89","202","q4",FALSE,"T","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","7","1","12","1","6","1","1.0","3","0.815217391304","1.919424","1.62368","1.53333333333","0.999997","35.624"
"data90","202","q17",FALSE,"T","1","1","1","0","0","0","0","1","0","0","1","0","1","0","1","3","1","15","1","10","1","1.0","5","0.884615384615","1.87445978261","1.64928043478","1.34130434783","0.999998","31.712"
"data91","202","q14",TRUE,"F","0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","3","1","6","0","0","1","1.0","1","0.861111111111","1.78555806452","1.73661290323","1.47096774194","0.761605","17.136"
"data92","202","q2",FALSE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2.0","0","1.0","1.8125","1.3512","2.1","0.715812","0.576"
"data93","202","q5",TRUE,"T","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.6","1.8889","1.0","0.002446","0.290361"
"data94","202","q1",FALSE,"F","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","5","1","2","1","1","1","1.0","1","0.766666666667","1.9476173913","1.68333043478","1.69565217391","0.922979","16.768"
"data95","202","q12",TRUE,"T","0","1","1","0","0","1","0","0","0","0","1","0","0","1","1","1","1","4","1","6","1","1.0","3","0.923076923077","1.94611875","1.72221041667","1.4","0.929194","19.656"
"data96","205","q19",FALSE,"F","0","1","1","1","1","0","1","1","0","0","0","0","1","0","1","17","1","11","1","5","0","1.0","0","0.823529411765","2.01397653061","1.77029387755","1.39387755102","1.000000","98.97148"
"data97","205","q20",FALSE,"T","0","1","1","0","0","1","0","0","0","0","1","0","0","0","1","9","1","3","1","2","0","1.0","0","0.888888888889","1.98788928571","1.651725","1.57857142857","0.999037","68.42553"
"data98","205","q15",TRUE,"T","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","15","1","7","1","5","0","1.0","0","0.860294117647","1.98461880342","1.58292136752","1.54358974359","1.000000","138.92721"
"data99","205","q14",TRUE,"T","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","3","1","5","1","6","1","1.0","1","0.918032786885","2.07922857143","1.75091428571","1.425","0.995903","93.41263"
"data100","205","q17",FALSE,"F","1","1","1","0","0","1","0","0","0","0","1","0","1","1","1","34","1","10","1","4","0","1.0","0","0.79679144385","1.89145369128","1.59526510067","1.53422818792","1.000000","230.25694"
"data101","205","q16",TRUE,"T","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","15","0","0","1","4","0","1.0","0","0.737704918033","1.91681777778","1.55137777778","1.55111111111","0.999339","109.64736"
"data102","205","q23",TRUE,"F","1","1","1","0","0","1","0","0","0","0","1","0","1","1","1","41","1","17","1","13","0","1.0","0","0.80303030303","1.97650518868","1.72536698113","1.64622641509","1.000000","243.79016"
"data103","205","q2",FALSE,"F","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","35","1","2","1","9","0","1.0","0","0.757425742574","1.9580503268","1.6776124183","1.55163398693","1.000000","222.91523"
"data104","205","q22",FALSE,"T","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","2.01310714286","1.85051428571","1.5","0.004554","8.3743"
"data105","205","q24",TRUE,"F","1","1","1","0","1","0","1","1","0","0","0","0","0","1","1","14","1","7","1","8","1","1.0","2","0.844660194175","1.95315402299","1.72436781609","1.46666666667","1.000000","117.02286"
"data106","205","q9",FALSE,"F","0","1","1","1","0","1","1","1","0","0","0","1","0","1","1","50","1","17","1","22","0","1.0","0","0.695652173913","1.96349488636","1.65081306818","1.35454545455","1.000000","216.23228"
"data107","205","q10",FALSE,"T","0","1","1","0","0","1","1","1","0","0","0","0","1","1","1","18","1","7","1","9","0","1.0","0","0.813008130081","1.953917","1.711747","1.342","1.000000","127.74102"
"data108","205","q11",FALSE,"F","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","5","1","1","0","0","0","1.0","0","0.783783783784","2.03037241379","1.66418965517","1.48275862069","0.931600","45.66118"
"data109","205","q12",TRUE,"T","0","1","1","1","0","1","1","0","0","0","0","1","0","1","1","17","1","12","1","6","0","1.0","0","0.775510204082","1.90516973684","1.68055131579","1.40263157895","0.999999","70.65126"
"data110","205","q13",TRUE,"F","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","25","1","18","1","9","0","1.0","0","0.833333333333","1.89577925926","1.63835111111","1.39703703704","1.000000","106.25899"
"data111","205","q21",FALSE,"T","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","4","1","3","1","1","0","1.0","0","0.90625","1.92781724138","1.64217586207","1.51724137931","0.875265","40.81705"
"data112","205","q3",FALSE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3","0","0","0","0","0","1.0","0","0.714285714286","1.94293","1.6652","1.82","0.121177","4.92216"
"data113","205","q4",FALSE,"T","1","1","1","0","0","1","1","0","0","0","0","0","1","1","1","22","1","13","1","6","1","1.0","1","0.842105263158","1.878004375","1.60886625","1.65875","1.000000","143.6664"
"data114","205","q5",TRUE,"T","0","1","1","1","0","1","1","0","0","0","0","0","1","1","1","16","1","5","1","9","1","1.0","1","0.763157894737","1.93647816092","1.70432413793","1.33793103448","1.000000","119.61908"
"data115","205","q6",FALSE,"T","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","4","1","4","1","1","0","1.0","0","0.75","2.01518333333","1.86221111111","1.46666666667","0.399902","42.69135"
"data116","205","q1",FALSE,"T","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1.0","0","0.888888888889","1.964275","1.716025","1.85","0.033465","4.2"
"data117","205","q7",FALSE,"T","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","3","1","1","1","3","0","1.0","0","0.8","2.04265","1.7307375","1.475","0.113078","16.57884"
"data118","205","q8",FALSE,"T","0","1","1","0","1","0","0","0","0","0","0","0","1","0","1","18","1","8","1","3","0","1.0","0","0.875","1.85341547619","1.59704880952","1.3880952381","0.999997","98.36867"
"data119","205","q18",FALSE,"T","0","1","1","0","0","1","1","1","0","0","0","0","0","0","1","11","1","5","1","3","0","1.0","0","0.797619047619","1.81440447761","1.64987462687","1.46865671642","0.999985","79.99904"
"data120","204","q1",FALSE,"F","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2.0","0","0.0","0.0","0.0","0.0","0.454425","0.91503"
"data121","204","q24",TRUE,"T","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","8","1","2","0","0","0","1.0","0","0.689655172414","1.869075","1.703965","1.88","0.947294","30.97814"
"data122","204","q6",FALSE,"F","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","17","1","10","0","0","0","1.0","0","0.702702702703","1.98998076923","1.71983846154","1.55","0.999965","54.08674"
"data123","204","q7",FALSE,"T","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.54937"
"data124","204","q8",FALSE,"F","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","12","1","5","1","2","0","1.0","0","0.705882352941","2.01857777778","1.66021944444","1.55555555556","0.994506","43.99145"
"data125","204","q2",FALSE,"F","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","2","0","0","0","0","0","1.0","0","0.75","1.97428333333","1.65381666667","1.8","0.240218","21.17944"
"data126","204","q10",FALSE,"T","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0.0","0","1.0","1.5154","1.5769","1.2","0.000921","0.82405"
"data127","204","q9",FALSE,"F","0","1","1","0","1","0","0","0","0","0","0","0","0","1","1","20","1","5","0","0","0","1.0","0","0.712643678161","1.97783548387","1.70115645161","1.5","0.999995","102.75391"
"data128","204","q11",FALSE,"T","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1.0","0","1.0","1.2308","2.1538","1.0","0.000036","0.51012"
"data129","204","q12",TRUE,"T","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","6","0","0","0","0","0","1.0","0","0.88","1.99012727273","1.53968181818","1.61818181818","0.606110","27.07978"
"data130","204","q13",TRUE,"F","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","21","1","8","0","0","0","1.0","0","0.738636363636","1.89932153846","1.68002","1.57538461538","0.999992","62.65039"
"data131","204","q14",TRUE,"T","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1.0","0","0.666666666667","2.3403","1.9091","2.6","0.007050","5.45443"
"data132","204","q15",TRUE,"F","0","1","1","1","0","1","0","0","0","0","1","0","1","1","1","30","1","16","1","11","1","1.0","1","0.808383233533","1.98975703704","1.67039481481","1.55703703704","1.000000","124.08041"
"data133","204","q16",TRUE,"T","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","2","0","0","1","1","0","1.0","0","0.666666666667","1.84895","1.43686666667","2.0","0.485807","13.68313"
"data134","204","q3",FALSE,"T","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1.0","0","0.0","0.0","0.0","0.0","0.568385","1.17722"
